cluster_id,cluster_size,keywords,examples
0,241,que | la | applesupport | en | el | https | mi | se | 115858 | iphone,"Pour ceux qui ont un #iPhone7 et qui ont #iOS11 , est-ce que vois avez ce bug qui fait que quand une app du doc se noirci comme ça, et qu'on fait rien, la page d'accueil et le bouton home ne répondent plus, et on ne peux plus ouvris d'app, même avec Siri. @AppleSupport @101553 https://t.co/nvv7W7ej9d || @AppleSupport Bonsoir... à quand le bug clavier iPad résolu ? C’est tout de même super agaçant et là ça devient long... remettez donc l’ancienne version si vous n’y parvenez pas mais faites quelque chose !
Merci || Desde que actualicé al iOS11 mi iPhone7 va de mal en peor... se bloquea, las apps se cierran y la batería dura 1/2 día @AppleSupport @115858 || ¿Soy la única que está jodida con la última actualización de #iOS? Tengo el #Iphone6s. ¡Menos mal que esta tarde voy a @AppleSupport y a ver qué solucionan!
Tengo a mis fans desesperados por mi falta de comunicación 😂 || La “actualización” a #iOs 11 es para dejar obsoletos a los #iPhone. Mi 6 Plus va más lento que antes y le dura menos la 🔋 @AppleSupport 😡 || Me han desaparecido en el #iPhone las fotos que tenía en #iCloud ¿a alguien más le ha pasado lo mismo? #apple @115858 @AppleSupport @3183 @119459 || @115858 @AppleSupport La dernière mise à jour fait planter mon Iphone 6. Des fois il redémarre même tout seul !! Faites quelque chose ! 😡 || @AppleSupport est-ce que le bug qui consiste à ne pas se déconnecter complètement du wifi et Bluetooth en iOS 11 va bientôt être corrigé ?"
1,901,update | phone | 115858 | new | applesupport | new update | iphone | update phone | updates | ios update,"@AppleSupport since the new update my phone has been extremely slow and laggy. Example 3 tabs open and when I double press home it took 30 seconds to switch to another open app (iPhone 7) this update has ruined my experience.
Go back to iOS 10 || @AppleSupport the fuck. Your latest iOS update has turned my phone into a stuttering, glitchy, stupid bitch. How about instead of releasing new phones all the fucking time, you focus on not killing previous models with your ugly ass iOS updates. || OH MY GOD @AppleSupport THIS IOS UPDATE IS ASS MY PHONE KEEPS FREEING AND WONT LET ME TURN IN OFF CUS THE TOUCH SCREEN DONT WORK IM NOT GETTING A NEW PHONE STOP PLS || @AppleSupport Getting a message saying ""an error occurred"" when trying to update my iOS. It doesn't say what the error is, so I don't know how to fix it. Have tried plugging the phone into my MacBook and updating thru iTunes, but that isn't working either. Please help. || I’m so fuckin tired of this Apple update i swear i just wanna throw my damn phone away . Yal lucky i need these emojis &amp; this iMessage . Don’t make me get in there and fix this shit myself @115858 🤬 || @AppleSupport disappointed with what’s happening to my iPhone 6. It’s freezing, can’t type, doing things on its own, having to restart every damn minute. I’m over it, please fix this issue! It must be that update bc my phone was fine a few weeks ago! || @AppleSupport latest iphone update has caused my iphone se problems. The battery drains much quicker, the aaps r not working properly now &amp; some of the settings functions r broken. i get a feeling that d update is purposely breaking my phone #help || @AppleSupport my phone got stuck in recovery mode after attempting 11.1.2 update. Attempt to update on iTunes results in error 14, I don't want to restore it as it will cause loss of all my data! HELP!"
2,820,https | applesupport | 115858 | applesupport https | shit | help | wtf | 115858 applesupport | 115858 https | applesupport 115858,"@115858 I never tweet. I’m pissed enough to tweet at you. A note was randomly deleted off my phone - not the first time - and is unrecoverable cus I don’t use your stupid iCloud shit. Why did this happen? Fix the fucking bugs in ur stupid ass software. || Thankful for this. Literally afraid to get out of bed, been sleeping away my days. Then feeling helpless/sad cuz of it. Also @115858 Face ID doesn’t work half the time it sucks. That last sentence was a non sequitur. You’re welcome https://t.co/FKQcjo05Xf || Just leaving lib now (6 pm)- been there since 10 am wrote a 8 pg nursing theory paper &amp; a 3 pg health disparities assignment &amp; had to spend an additional hour re reading/ editing both cause of that stupid fucking A ? glitch soo @115858 YOU OFFICIALLY SUCK. That is all. Goodbye. || I feel like twt gave me 280 characters a few hours after my complaining today in fear of my spam of complaining memes bc you bet your ass I️ was more than ready to bust out my memes to continue my rant on why I️ didn’t have enough characters to tell the world I️ love Minhyuk https://t.co/cgCDYAJw56 || I would like to give a big F YOU to @122427 and @115858 for acting stupid on my MacBook Pro &amp; decide to just freeze and delete my research paper that I’ve been working on all break, had only my conclusion paragraph to write but y’all had to act up! 🤬🤬🤬 || Disgusted with @115858 for telling my 79 year old grandma she’s not allowed to sit in one of their seats while waiting for her phone to be fixed, because they are “only for people testing their products”, causing her to pass out in their store and be taken to the hospital. || Dear @AppleSupport, I have had the worst customer service all week on several different points and have been given the runaround on how I can speak to someone on your team about this. Why is this so difficult to give constructive feedback? It makes me not want to be your customer || @115858 I’m really about beating ya ass right now. This has got to stop. Lemme show you. 

“I️ don’t fuck with I️t.”

“I don’t fuck with it.”

You see the problem? Now fix it.

I’m Jamaican. You really don’t want this. 

Official beef. Real news."
3,989,applesupport | https | macbook | 115858 | apple | sierra | help | mac | watch | high,"@AppleSupport Macbook Pro(Early 2015) with recent High Sierra Version Safari is crashing 5-10 sek after start. Not able to work. Re-installed MacOS from the scratch. No impact. Parallely the iCloud music library can’t sync. @115858 please fix! || Hey @AppleSupport ever since i updated to high sierra 2 days ago my screen does this when i shut down pls tell me this is a common occurrence and yall are working to fix it bc this ish makes me nervous as hell https://t.co/uDIej6mGQn || @AppleSupport MacBook Air.2 years old. But never used. Tried to use it first time two weeks ago. Cursor uncontrollable. Service at Mangalore (Maple) says Track PAD defective. RS.10000 for replacement. Quite unfair as it is manufacturing defect.Replace free of cost || @AppleSupport After updating to macOS High Sierra version 10.13.1 I have not been able to connect to my internet router. My other devices that are connected to the same internet work fine. Connecting with a hotspot works. How do I fix the main internet connection? https://t.co/ofjahv1wOR || I've had my MacBook Pro for 7 years, no problems whatsoever. Until 2 weeks ago, I cannot even begin to tell you how many times it's just shut down and needed to restart. 

Called Apple today and they won't help me. Apparently my laptop is vintage!! 

@AppleSupport @115858 || @116333  Sir I m very sorry to say I m very very disappointed with Mac Book pro service,as I m using all apple devices but this Mac Book is creating problems in regular basis, I want apple has to exchange it otherwise I will stop buying apple products &amp; go to consumer forum. || I've concluded that the low end MacMini is a pointless device. It takes me back to the bad days of computing. 10 minutes to finish booting, constant pauses whilst it makes its mind up what to do, spinning colour ball at the slightest mouse click. @115858 can I send it back? || @AppleSupport 
I replaced the GPU on my MBP Late 2011 in 2015 under warranty for free. Well, you solved my problem for some time. And now it happened again. As I know there in no way to repair it for free second time.
I did run Apple Hardware Test but it didn't find any problems. https://t.co/91qqWnMwii"
4,1334,11 | ios | ios 11 | ios11 | applesupport | 115858 | iphone | update | phone | https,"@AppleSupport my iPhone 7 running iOS 11.1.2 just started crashing constantly, screen goes black then shows Apple busy circle symbol the auto locks my phone, brings me to the lock screen and after I unlock it all progress of previous work is lost, have to reopen app || @AppleSupport there’s a glitch I believe in ios 11 as my #iPhone6S has started freezing. Issues like auto shutdown and app crash occur very frequently. This hardly happened earlier. It’s not just my phone but a lot of people I know having the same phone are facing this issue. || After update to iOS 11.1.2 on my iPhone 6s - heavy battery drain, iTunes download gets stuck, random reboots, apps crashes, the screen became unresponsive to touch. I have to do hard reboot few times a day. This is the worst update ever. @AppleSupport please do something. || @AppleSupport hey guys, look I don’t know what’s going on but iOS 11 really isn’t living up to me expectations on iPhone 7. It’s killing the battery and I’m finding it quite buggy.  Its 100% OS, not hardware or needing a reset. Normally I have good things to say not at the moment || @AppleSupport my messages app keeps crashing every time I try and open it. This started after downloading 11.2 public beta 2. Is there an issue with this update. I’ve tried a hard reset and am still seeing the issue. Anything else I should try? || @AppleSupport hello, my iphone 6 keeps freezing and crashing apps with the new iOS 11.0.2 and it got really slow. is there going to be an update to fix that? ive seen that many people have this issue. || @AppleSupport ever since I updated my iPhone to iOS 11 all my apps are running slow &amp; take long to open. My phone constantly freezes and this never happened before the update!!! Just terrible can you fix the bugs ASAP!!!!!!!!! || Hey @AppleSupport @115858 can I go back to iOS 10? Seems like 11 is nothing but a battery hog and a much worse experience. Latest complaint: it took 10 minutes to reconnect after a flight. You shouldn’t have to buy a new thousand dollar phone every 2 years,  but that is your plan"
5,787,fix | 115858 | 115858 fix | question | glitch | applesupport | https | shit | applesupport fix | marks,"DEAR @AppleSupport FIX THE FUCKING I PROBLEM! I’m literally tired of the A box with the question mark in it! It’s be going on TOO FUCKING LONG now! I’m not getting the 10 cuz it’s just the 7 which is just the 6s. -Signed an ANNOYED AF customer! || Hey @115858 why the hell haven’t y’all fixed this stupid question mark glitch? Shit been going on for too long and is getting annoying. Step yo game up with y’all rich asses || @115858 get your fucking shit together and fix the keyboard holy fuck. I’m sick of constantly updating shit cause you can’t make it work right the first time... Are you fucked!? I️ can’t even type “I️” cause it just turns into bullshit || Oh and @115858 , that stupid ass 11.1 update bullshit y’all sent out to fix this box question mark shit didn’t work 🙃 || @AppleSupport if ya’ll don’t fix this weird bug, that keeps turning my ‘I’s into weird question mark boxes, we gonna have to square up. || @115858 if y’all don’t release an actual fucking update so I can stop seeing this question mark shit 😑 shit annoying af || @115858 y’all need to fix this fucking problem. i️m tired of seeing that question mark in a box every time i write something || @115858 FIX THESE FUCKIN BOXES! Please! Im speaking for myself and every other iPhone user! Got me texting &amp; tweeting dumb shit like I’m stupid..."
6,490,music | applesupport | apple music | itunes | apple | https | play | songs | 115948 | 115858,"When running the @115858 watch series 2 has annoyingly been losing bluetooth connection to @90818 earphones usually 2km in. then impossible to reconnect until back &amp; not using @6716 app. point in having watch is to listen to music and track run without needing my phone! ?? || @AppleSupport Hey there, after I upgraded my Mac Book Pro to High Sierra the Media function buttons don't seem to operate iTunes anymore. The play button operates Youtube clips but that's about it. The sound buttons work fine... can someone help? :S || Why is audio out of sync with any videos I play on iPhone 7 or iPhone X, on BOTH Verizon &amp; AT&amp;T networks? Happening since iOS 10 &amp; now continues several versions into iOS 11. Cant be the network if it happens on 2 different carriers &amp; using the same 2 iPhone models. @AppleSupport || does anybody know how to actually download this onto my computer? I got it on my phone, but on iTunes on laptop says they're all purchased, but when I play it is only the 1:30 preview. and if I click 'check for downloads' it says there is nothing D: @AppleSupport @118721 #rep https://t.co/2ZWubBSNuZ || @115948 @AppleSupport Need help, tried online support last night, no help whatsoever. Using my apple music acct but cannot find people at all, was told to upgrade but already have full package, plz advise || @AppleSupport I just updated to the new OS, and now Final Cut Pro, Soundtrack Pro, Compressor, &amp; a few other Apps don’t work because it says they’re “not compatible”. How can I fix this without forking over nearly $500 for the updated versions? || @AppleSupport how come features that my Watch had in earlier software releases are now gone? Eg browse iPhone's music library from Watch, add to Up Next queue using Siri on Watch. These were features I used all the time, doesn't seem right that functionality gets removed. || @AppleSupport what does this crap means? I’m having trouble with Apple Music every god damn time since I update to ios11. Pls fix this, I’m paying a monthly subs for this https://t.co/R0CTT3AAOB"
7,1086,iphone | applesupport | 115858 | applesupport iphone | phone | new | screen | iphonex | https | apple,"@AppleSupport hey apple my iPhone 7 went blacked out for like 2 hours every time I come to reboot it my phone gets stuck at the rebooting program …I think my phone’s broken need help ASAP nothing is working getting frustrated 😩 || Apple is really pushing for me to upgrade my 6s, the iPhone X dropped &amp; all of a sudden I don’t get cell service in my house anymore, my apps want to continuously force close &amp; my sound when I make phone calls is shot, you ain’t slick @115858 || I love when my @115858 #iPhone starts conveniently glitching hardcore and doesn’t respond to anything for 10 minutes just after the new #iPhoneX came out. I restarted it 3 times. Dropped the battery from 65% to 24% in 10 min #FixYaDamnPhones, so close to changing to @125607 || dear, @115858 i’m convinced you’ve fucked up my phone on purpose so i buy a new fancy iphone x but that’s not gonna happen so pls FIX THE IOS IM SICK OF MY PHONE THAT ISNT EVEN A YEAR OLD BEING AS SLOW AS A DIAL UP COMPUTER love, your very loyal customer || yo @115858 I just bought ya iPhone 7 just like 2 weeks ago and the battery already dies quicker than @4870 dog taking a fat shit, instead of not having a headphone jack, make a better battery, period || @AppleSupport  My iPhone 7 is genuinely slowing compared to my friends. I have a 128GB model and there isn't one scratch but my iPhone has crashed several times since purchase, music stops playing and touch id underperforms. Cant believe my hard earned money has gone to waste || @AppleSupport My iphone 7 just lost all 11.000 of my photos &amp; videos. It froze so I had to restart it (press vol button &amp; home button at the same time). Once I was done restarting it, I check my camera roll &amp; photos were all GONE. I quickly connected it to my macbook &amp; now + || @115858 I'm not posting a lot on Twitter but my IPhone 5S is hanging since a few weeks several times a day! I understand more people have this issue after the IOS update. @115858 Can you please solve this issue or is this just a new way to let people buy another one? #apple #issue"
8,924,apple | applesupport | store | id | icloud | apple id | app | iphone | email | help,"i finally got a replacement phone for my broken iphone 6 but i forgot my password for my apple id, i was trying to reset it but now apple does this recovery thing that takes hours for my request to accepted. @AppleSupport i just want to reset my forgotten password man || @AppleSupport hello, my Apple pay isn't working, i just got a debit card and am wanting to set it up but it just keeps saying ""this is not available on this account"" please tell me how to fix this, I have the iPhone X btw if that's any help || @AppleSupport My Phone number was greyed out on iMessage settings. Followed advice from Apple forums to log out/in Apple ID, network reset and phone reset and now iMessage has been “waiting for activation” for hours. Any help appreciated. Thanks. || @AppleSupport Yes &amp; my iPad 2 air duplicates my apps every time I open one, it lost half my contacts, I have had so many problems. I think they know I just paid it off &amp; but a bug in it 2 make me buy a new one! Not happy! https://t.co/D5QqNY39Vj || Nothing says ""0 F's Given"" like an @115858 alert that your iPhone X ""Trade Up"" order may be cancelled because they didn't receive the old phone. The NEW phone hasn't even arrived! It has been in Chinese customs for a week with no firm ETA. Nice customer experience @AppleSupport. || @AppleSupport hello bought a late 2008 macbook on eBay and now want to sell it so I wiped the disk’s as stated on your website but as I try to download the IOS captian, I entered ID and it says this item is temporarily unavailable. Pls help || @AppleSupport I’ve added a card to Apple Pay, called my bank 3 times to have it verified but it’s still telling me to verify it in Apple Wallet settings. Ive tried removing it and then verifying with the bank but same problem. iPhone X iOS 11.1.1 || @116333 @115858 @AppleSupport @2310 @5739 @45277 your Indian support is a joke . I m regretting that I bought Mac book Pro and have faced so many issues .never gonna use apple again. Tim if you are listening do something.#pathetic #AppleNews #Apple #timcook"
9,746,phone | 115858 | applesupport | applesupport phone | fix | https | just | shit | phones | fucking,"@AppleSupport since couple hours ago every time i open twitter or other apps my phone crashes, it shows black screen and loading wheel for around 8 seconds then ask for password. i saw some people having the same problem, how do i fix this? || Ok @115858 I am sick and tired of my phone malfunctioning! Why are numbers that I saved coming up unsaved? Why did 900+ photos just disappear from my phone? Why is my phone acting slower and slower!? It’s really pissing me off cause I have been with the company for too many years || @AppleSupport @115858 You have broken my phone.  Battery a disaster and drains to 0.  Won't charge properly.  Can't crop photos or videos.  Calculator doesn't work.  Apple Support chat taking FOREVER to respond.  This is absurd. || Phone charges when it wants. Hanging up when i make a outgoing call. Resets on its on. What the hell going on with @115858 !!? Y’all need to stop making all these phones back to back like this. I got a 7plus brand new , ain’t no way in hell my phone suppose to be doing this !! 😤 || What the actual FUCK @115858 ?! I deleted all of my “recently deleted” pictures and you deleted my ENTIRE fucking camera roll minus a random ass 285 pictures? I had 4,000 photos and videos on my my phone. Fix this shit. Not fucking cool https://t.co/Yk85yytbf3 || Thank you @115858 for forcing me to restore &amp; update my phone.I only lost all of my photos,contacts and messages in the process. Not to mention my camera doesn’t work anymore 🙃🙃 thnx || @AppleSupport I need help with being able to work one of the apps on my phone. All of my memories are on google photos and it was working an hour ago, But now the app is saying how I have to turn on photo usage in settings but every time I click to do it, the option isn’t there || Hey @AppleSupport.  I ordered a phone online yesterday, set it for store pickup yesterday, but never received an email saying it was ready.  And your phone system keeps hanging up on me.  Someone want to tell me what's going on?  I just want to pick up my phone, that's it."
