case_id,customer_message,cluster_id
apple_2291530,@AppleSupport my phone is trippin. When I hit the home button it loads before giving my pin pad. 🤨,9
apple_145214,@115858 I love you but come on my phone doesn’t fucking work and you wore I’m using the dictation shit now and it’s fucking annoying because I can’t type anymore I didn’t even drop my phone and erase I can rule the fuck out,9
apple_2591355,@AppleSupport good afternoon....my phone keeps replacing the letter “I” with I️...can y’all fix this,10
apple_631581,@115858 In the next iOs 11.xx update at least have some dignity and add the option to adjusting snooze interval in your alarm clock!!!!!😡,4
apple_505208,"@AppleSupport since couple hours ago every time i open twitter or other apps my phone crashes, it shows black screen and loading wheel for around 8 seconds then ask for password. i saw some people having the same problem, how do i fix this?",9
apple_2304957,well i'm sorry i don't travel with TWO pairs of headphones? i've had this phone for one month. wth @AppleSupport? 🎤👎🏼 https://t.co/uBS7hto3b9,9
apple_2487189,Thanks @115858 for bricking my work computer during the High Sierra update! https://t.co/pLNIA7f6V6,3
apple_2926438,love when @115858 releases a new phone and my brand new iPhone 7 stops working right......,7
apple_1616714,@AppleSupport. y’all gone fix these question marks or what?,5
apple_1974957,Hey @AppleSupport are you ever going to fix the iOS 11 bugs or am I going to have to restart my phone 3x a day for the rest of my life?,4
apple_2207412,why iPhones hella slow? fix that @115858,7
apple_704582,"Hey @115858 I love Apple products but I have problems that Apple does not care! What did I pay 1100 $ for the IPhone 7 Plus in April? I have problems with the body IPhone and you do not care. 
#apple#iphone#help#love# @115948 @116333 @AppleSupport @115858  @AppleSupport https://t.co/JXn22aizQE",7
apple_2305182,@AppleSupport theres two youtubes and i cant delete the one thats stuck like that https://t.co/AdH9tXQkcW,3
apple_1700980,@115858 &amp; @AppleSupport - any idea when the bug with the “I️” will be fixed? Thanks in advance,10
apple_2003352,"Dan, is your new X stuck in ""Could Not Activate iPhone"". Is it possible to start the activation over? https://t.co/KZsaoWuvgM",7
apple_2041375,Low power mode don’t work. @AppleSupport,3
apple_1717285,"Hi @115858, why has the iOS11 update completely ruined my phones battery life? Ta x",11
apple_1454513,@AppleSupport can’t you please fix this ——-&gt; I️,10
apple_965327,Hey @AppleSupport @115858 how do I downgrade legally ios11 to 10? You've just cost me $600 in pro-camera hardware because app not supported!,4
apple_2093845,@115858 my phone can unlock from my thumb print but I️ can’t text I️ correctly. Fix this now!,9
apple_272912,"@115858 with the new version of i OS 11, my iPhone is not working well at all. Don’t be like Microsoft please, fix it fast !!!!!",4
apple_1434363,@AppleSupport Hello! I’m listening to @115888 and the music controls at the control center are not working. Why? https://t.co/4ed0rjL2E0,6
apple_666245,@AppleSupport I'm trying to check the status of my iPhone X(s) and i'm keep on getting an error saying the information doesn't match,7
apple_2279853,@AppleSupport please fix the stupid I️ thing!,5
apple_1677782,Yo @115858 how do I️ fix this text problem :(,5
apple_819528,@AppleSupport whats the email to send uni ID to for a discount please?,8
apple_1849309,"@AppleSupport my iPhone 6+ is UNUSABLE after iOS 11. 11.1 isnt any better! Fix it! Fix it now! Slow, unresponsive, takes 30secs to open msgs",4
apple_427857,Can't believe @115858 delivery can be so crap!!! @AppleSupport I am just so disappointed I think I should take my hard earned money elsewhere,8
apple_2004143,Why the hell is my phone autocorrecting my “i” with some nonsense???? Explain yourself @115858 https://t.co/erzrWGlAQw,10
apple_1414579,@AppleSupport @115858 can you fix this autocorrect problem?! The letter i is changing to something weird.,10
apple_570937,@applesupport  My iPhone 7 is continually going back to the log-in screen.  Trying to chat with Apple.  No one responds.  I think my phone is about a year old.__credit_card__,7
apple_2961401,"@AppleSupport I am so sorry #Apple. I forgot my password to #Appstore .Please let me install an App. It's very important. I promise I would not repeat this. Also, why do you have so many mood swings? I see u randomly askin pwd for Appstore even though I setup touchID? #justAsking",8
apple_1343649,@AppleSupport is there any way to upgrade from SD to HD movies/TV shows?,3
apple_1404071,@AppleSupport why does my phone slow down and glitch when you have a new one coming out? Stuck with a phone that isn’t working right.,9
apple_2429194,Olmaz olsun böyle destek nasıl deniyordu? @AppleSupport,0
apple_2590401,Since updating my Mac computer operating system to High Sierra ... I’ve had all kinds of problems.  Suggestions? @115858,3
apple_2364448,Hello @AppleSupport. Can you please help verify if this receipt is real? A friend just got it and he's not sure. Thank you! https://t.co/TQ829evGKp,8
apple_188517,@115858 apps crashing on iphone 7 plus after ios 11 update. Any work around to avoid it? Thanks,4
apple_2068643,@AppleSupport why is my screen turning blue? 🙃,3
apple_2025926,Why does my WiFi and Bluetooth still stay on even when I turn it off in the control center? @115858,3
apple_1839479,"@115858 you guys are a joke , you know you have an IOS problem yet you continue to have reps lie that there is not. Your a joke!!!😡",8
apple_258893,@115858 Very disappointed with customer service...,8
apple_877917,@115858 fix your iOS! It’s trash! I can’t open ANY of my apps without them crashing and your music widget is broken,6
apple_2285323,"@AppleSupport barely used my phone the past two hours, all on wifi, background updates off and still lost 30 percent battery life. What’s up??? https://t.co/BSMsdJLAkC",11
apple_514832,Question if the day. Should a 42mm series 1 @115858 watch that cost $500 have charge issues after two years. Mind you no damage and Apple troubleshooter says watch has a strong battery. All occurred after the latest watch update.,3
apple_1507341,@AppleSupport most frustrating experience of my life! 3 times no solution. 😡,2
apple_1826412,"Am I the only one having trouble with the #mail app from @115858? 
It keep loosing my outbound server settings and nothing won’t stay conn",3
apple_2642273,i just got the iphone 8 plus last week &amp; it’s freezing so much... @115858 wtf.. a $900 phone should not be freezing this much..,7
apple_2696054,Câbles de mauvaise qualité vendus chez #Apple. 2e câble qui s'abime au niveau de la gaine. Poor quality cables sold at #Apple. 2nd cable which is damaged at the level of the sheath. #AppleStore @115858 #Foutage2Gueule #BullShit https://t.co/ag0Z7AMj23,0
apple_2903758,My iPhoneX is stuck in a boot loop. I can't turn it off / on and no kind of reset is working. This is fucking shit. @AppleSupport,7
