case_id,customer_message,support_conversation,final_support_response,num_turns,num_customer_turns,num_support_turns,evidence_status,clean_message,cluster_id,intent,human_intent,annotation_notes,label_source
apple_2897729,@AppleSupport why has this come up? I'm just trying to charge my iPhone https://t.co/P1p4mlQOox,"CUSTOMER: @AppleSupport why has this come up? I'm just trying to charge my iPhone https://t.co/P1p4mlQOox
SUPPORT: @142083 Let's help! Are you charging your iPhone via Mac or PC? Do you have any other peripherals connected to the computer when this message appears?
CUSTOMER: @AppleSupport lol it's a Mac, I have my charger and iPhone X, I've done this a lot before, even charged my iPad, mom's iPhone and my iPhone with AC Adapter and never done this. But now, I only connected my phone and this popped up
SUPPORT: @142083 To confirm, are you attempting to fast charge your iPhone X with the USB-C to Lightning cable and one of these adapters?: Apple 29W, 61W, or 87W USB-C Power Adapter. Fast charge: https://t.co/M0KamLrtwG
CUSTOMER: @AppleSupport I'm using my iPhone X with my MacBook Pro with a Lightning to USB-C cable and I get that popup
SUPPORT: @142083 Thank you for clarifying that for us. Let's reset the System Management Controller as described here to see if that resolves the problem: https://t.co/FYojVXHuwn
CUSTOMER: @AppleSupport That seems to have worked. Thank you.
SUPPORT: @142083 Excellent; you're most welcome! Please feel free to reach out to us again if you need any more help. We’re available every day to answer your questions from 5am-8pm Pacific. Have a great day!",@142083 Excellent; you're most welcome! Please feel free to reach out to us again if you need any more help. We’re available every day to answer your questions from 5am-8pm Pacific. Have a great day!,8,4,4,SUPPORT_RESPONSE_PRESENT,why has this come up? I'm just trying to charge my iPhone,7,iphone_hardware_issue,iphone_hardware_issue,,human_verified
apple_112861,"@AppleSupport Hey, just curious, do people have to pay for support now when calling in?","CUSTOMER: @AppleSupport Hey, just curious, do people have to pay for support now when calling in?
SUPPORT: @141089 Thanks for reaching out. No, you do not have to pay for support if you call in.
CUSTOMER: @AppleSupport When I call the 1-800 My iPhone, the recording states “Due to the holiday, we’re offering limited product support. You will need an extended hours agreement.”
SUPPORT: @141089 We can definitely understand the confusion. We at this channel can help resolve your issue. Due to the holiday our phone support is closed for the day. If you would like to work with us, hit the DM link and we'll get started. https://t.co/GDrqU22YpT","@141089 We can definitely understand the confusion. We at this channel can help resolve your issue. Due to the holiday our phone support is closed for the day. If you would like to work with us, hit the DM link and we'll get started. https://t.co/GDrqU22YpT",4,2,2,SUPPORT_RESPONSE_PRESENT,"Hey, just curious, do people have to pay for support now when calling in?",8,account_identity_issue,other_unclear,,human_verified
apple_1830986,"Oh my goodness, battery life is non-existent after I upgraded my iPhone to the new iOS 11","CUSTOMER: Oh my goodness, battery life is non-existent after I upgraded my iPhone to the new iOS 11
CUSTOMER: @549417 I though it was just my battery getting old... 😭
CUSTOMER: @549418 I doubt it. @AppleSupport please fix this. Plus the switching between WiFi and Mobile data does not happen. #BringBackiOS10 😄
SUPPORT: @549417 We're here to help. Send us a DM with the full details of what's happening after your update. We can work from there. https://t.co/GDrqU22YpT",@549417 We're here to help. Send us a DM with the full details of what's happening after your update. We can work from there. https://t.co/GDrqU22YpT,4,3,1,SUPPORT_RESPONSE_PRESENT,"Oh my goodness, battery life is non-existent after I upgraded my iPhone to the new iOS 11",11,battery_life_issue,battery_life_issue,,human_verified
apple_336219,"@AppleSupport Y can’t y’all release an update that won’t fuck shit up, can’t play Apple Music on shuffle since ios11","CUSTOMER: @AppleSupport Y can’t y’all release an update that won’t fuck shit up, can’t play Apple Music on shuffle since ios11
SUPPORT: @196205 What's happening if you try to shuffle per instructions at https://t.co/Q3ojzTGrTU on your device? We want to help.
CUSTOMER: @AppleSupport I don’t have a repeat button, and when you hit shuffle it don’t shuffle it constantly repeats Ill wait for the update to the update 🙄",@196205 What's happening if you try to shuffle per instructions at https://t.co/Q3ojzTGrTU on your device? We want to help.,3,2,1,SUPPORT_RESPONSE_PRESENT,"Y can’t y’all release an update that won’t fuck shit up, can’t play Apple Music on shuffle since ios11",6,music_audio_issue,music_audio_issue,,human_verified
apple_262601,@AppleSupport why can’t I get my 1st generation Watch to unlock my Mac on High Sierra?,"CUSTOMER: @AppleSupport why can’t I get my 1st generation Watch to unlock my Mac on High Sierra?
SUPPORT: @178555 We want to look into this with you. What happens when you try?
CUSTOMER: @AppleSupport I just get the Mac could not communicate with Watch dialogue
SUPPORT: @178555 Check out this article for all of the settings necessary for the Auto Unlock https://t.co/MQdkNOBC7a
CUSTOMER: @AppleSupport All those settings are on. It used to work perfectly on macOS Sierra but I can’t get it to work at all since High Sierra and WatchOS 4
SUPPORT: @178555 So we can look into this further, let's chat in DM. https://t.co/GDrqU22YpT","@178555 So we can look into this further, let's chat in DM. https://t.co/GDrqU22YpT",6,3,3,SUPPORT_RESPONSE_PRESENT,why can’t I get my 1st generation Watch to unlock my Mac on High Sierra?,3,macbook_issues,macbook_issues,,human_verified
apple_1478389,@AppleSupport @115858 Why are the question mark boxes popping up every time I️ type this I️,"CUSTOMER: @AppleSupport @115858 Why are the question mark boxes popping up every time I️ type this I️
SUPPORT: @463304 We'd like to discuss this with you further. Let's continue our conversation in DM. https://t.co/GDrqU22YpT",@463304 We'd like to discuss this with you further. Let's continue our conversation in DM. https://t.co/GDrqU22YpT,2,1,1,SUPPORT_RESPONSE_PRESENT,Why are the question mark boxes popping up every time I️ type this I️,5,keyboard_autocorrect_issue,keyboard_autocorrect_issue,,human_verified
apple_2095908,@115858 iOS11 is riddled with glitches. Is there an easy way to downgrade to iOS10? Also happy to share my list of bugs.,"CUSTOMER: @115858 iOS11 is riddled with glitches. Is there an easy way to downgrade to iOS10? Also happy to share my list of bugs.
SUPPORT: @269160 Let's get to the bottom of this. Which version of iOS are you on? You can find that in Settings &gt; General &gt; About. Reply in DM. https://t.co/GDrqU22YpT
CUSTOMER: @AppleSupport @269160 Don’t fall for it @269160, @applesupport always request DM to avoid exposing their weakness of not being able to help publicly. #iOS11",@269160 Let's get to the bottom of this. Which version of iOS are you on? You can find that in Settings &gt; General &gt; About. Reply in DM. https://t.co/GDrqU22YpT,3,2,1,SUPPORT_RESPONSE_PRESENT,iOS11 is riddled with glitches. Is there an easy way to downgrade to iOS10? Also happy to share my list of bugs.,4,ios_update_issues,ios_update_issues,There are a lot of bugs in ios 11,human_verified
apple_563048,@AppleSupport my 5th gen iPod will not play my music. It says the item is unavailable. How do I get my music to play?,"CUSTOMER: @AppleSupport my 5th gen iPod will not play my music. It says the item is unavailable. How do I get my music to play?
SUPPORT: @251803 We'll be happy to help you get back to enjoying your music. Let us know, does this happen to all music? Also, if you haven't already, restart the iPod and test the music again.
CUSTOMER: @AppleSupport No, this doesn’t happen to all of the music. It seems to be just the songs imported from CDs. I have tried restarting the iPod and it doesn’t seem to help.
SUPPORT: @251803 Thanks for letting us know the restart did not help. Next, have you tried to resync your iPod to iTunes? Here is a helpful link on syncing to iTunes: https://t.co/048FvsiWf8

Also, do the songs play when you are using iTunes?
CUSTOMER: @AppleSupport Syncing to iTunes did not help and no, they do not play in iTunes either. It shows an exclamation point next to the song in iTunes.
SUPPORT: @251803 It seems iTunes is not able to find the music file on the computer. So next, let's take a look at this link: https://t.co/fEmDw6pquq It will cover the steps needed to help you. If you still need our assistance, just reach back out to us.
CUSTOMER: @AppleSupport When I click a Edit&gt;Get Info it does not ask me to locate the file.  This is what the “File” tab looks like for a song. https://t.co/WXvDpDVOvM
SUPPORT: @251803 Do you know which version of iTunes you're using? Let us know in a DM. https://t.co/GDrqU22YpT",@251803 Do you know which version of iTunes you're using? Let us know in a DM. https://t.co/GDrqU22YpT,8,4,4,SUPPORT_RESPONSE_PRESENT,my 5th gen iPod will not play my music. It says the item is unavailable. How do I get my music to play?,6,music_audio_issue,music_audio_issue,Issues regarding playing music on Ipod,human_verified
apple_433107,You still have not told me why my new music mix disappeared from my Apple Music @AppleSupport,"CUSTOMER: You still have not told me why my new music mix disappeared from my Apple Music @AppleSupport
SUPPORT: @116338 Reach out to us via DM, then we can advise you on this from there. https://t.co/GDrqU22YpT","@116338 Reach out to us via DM, then we can advise you on this from there. https://t.co/GDrqU22YpT",2,1,1,SUPPORT_RESPONSE_PRESENT,You still have not told me why my new music mix disappeared from my Apple Music,6,music_audio_issue,music_audio_issue,issue regarding music mix in Apple Music,human_verified
apple_2129226,@AppleSupport why does my battery die so fast?,"CUSTOMER: @AppleSupport why does my battery die so fast?
SUPPORT: @626790 We're here to help and want to help take a look into this further. What device and OS version are you having issues with?",@626790 We're here to help and want to help take a look into this further. What device and OS version are you having issues with?,2,1,1,SUPPORT_RESPONSE_PRESENT,why does my battery die so fast?,11,battery_life_issue,battery_life_issue,Battery is dying fast,human_verified
