case_id,customer_message,support_conversation,final_support_response,num_turns,num_customer_turns,num_support_turns,evidence_status
apple_1000012,@AppleSupport explain yourself. https://t.co/356zUHKRCF,"CUSTOMER: @AppleSupport explain yourself. https://t.co/356zUHKRCF
SUPPORT: @356751 Thanks for reaching out to us for support. We would love to help you. Please DM us so that we can look into this together. https://t.co/GDrqU22YpT",@356751 Thanks for reaching out to us for support. We would love to help you. Please DM us so that we can look into this together. https://t.co/GDrqU22YpT,2,1,1,SUPPORT_RESPONSE_PRESENT
apple_1000018,"CANT STAND THOSE DAMN SQUARES, @115858 . Y’all need to fix that shit.","CUSTOMER: CANT STAND THOSE DAMN SQUARES, @115858 . Y’all need to fix that shit.
SUPPORT: @356753 Let us know via DM the device you are experiencing this on and with which version of the iOS, then we can advise from there. https://t.co/GDrqU22YpT","@356753 Let us know via DM the device you are experiencing this on and with which version of the iOS, then we can advise from there. https://t.co/GDrqU22YpT",2,1,1,SUPPORT_RESPONSE_PRESENT
apple_1000024,I’m so tired of these question mark boxes on my TL. Get your shit together  @115858 @AppleSupport,"CUSTOMER: I’m so tired of these question mark boxes on my TL. Get your shit together  @115858 @AppleSupport
SUPPORT: @356755 We'd be happy to look this over with you. Please meet us in DM so we may gather information, and better assist. https://t.co/GDrqU22YpT","@356755 We'd be happy to look this over with you. Please meet us in DM so we may gather information, and better assist. https://t.co/GDrqU22YpT",2,1,1,SUPPORT_RESPONSE_PRESENT
apple_1000074,FUCK YOU @115858 &amp; @123765! NOW I️ CAN’T TWEET THE LETTER I️?!,"CUSTOMER: FUCK YOU @115858 &amp; @123765! NOW I️ CAN’T TWEET THE LETTER I️?!
SUPPORT: @356764 Hello, thanks for reaching out about this. DM us with which device and iOS version you’re using and we’ll continue there. https://t.co/GDrqU22YpT","@356764 Hello, thanks for reaching out about this. DM us with which device and iOS version you’re using and we’ll continue there. https://t.co/GDrqU22YpT",2,1,1,SUPPORT_RESPONSE_PRESENT
apple_1000078,@AppleSupport any outlook to fixing this issue? https://t.co/Ku6LgeX67D,"CUSTOMER: @AppleSupport any outlook to fixing this issue? https://t.co/Ku6LgeX67D
SUPPORT: @356765 We're here to help. What happens when you give it another try on LTE? Send us a DM so we can look into what's going on. https://t.co/GDrqU22YpT",@356765 We're here to help. What happens when you give it another try on LTE? Send us a DM so we can look into what's going on. https://t.co/GDrqU22YpT,2,1,1,SUPPORT_RESPONSE_PRESENT
apple_1000080,Why is shit popping up as questions marks on my phone?? What’s going on @AppleSupport,"CUSTOMER: Why is shit popping up as questions marks on my phone?? What’s going on @AppleSupport
SUPPORT: @356766 We're here to help. DM us which model of iPhone and version of the operating system you're using and we'll get started. https://t.co/GDrqU22YpT",@356766 We're here to help. DM us which model of iPhone and version of the operating system you're using and we'll get started. https://t.co/GDrqU22YpT,2,1,1,SUPPORT_RESPONSE_PRESENT
apple_1000092,"@AppleSupport your c/s sucks, I was just disconnected after waiting on hold for 45+ minutes","CUSTOMER: @AppleSupport your c/s sucks, I was just disconnected after waiting on hold for 45+ minutes
SUPPORT: @356770 That's not the experience we want you to have. Tell us in DM what's going on so we can determine the best support for you today. https://t.co/GDrqU22YpT",@356770 That's not the experience we want you to have. Tell us in DM what's going on so we can determine the best support for you today. https://t.co/GDrqU22YpT,2,1,1,SUPPORT_RESPONSE_PRESENT
apple_1000099,"@AppleSupport my iPhone X keeps getting a ""Could Not Activate iPhone"" error. Is the activation server down?","CUSTOMER: @AppleSupport my iPhone X keeps getting a ""Could Not Activate iPhone"" error. Is the activation server down?
SUPPORT: @356773 Congrats on the new iPhone X! These steps can help with Activation issues: https://t.co/cJ57VP3gxT
DM us if still an issue. https://t.co/GDrqU22YpT
CUSTOMER: @AppleSupport That was hectic, but I’m all set. Thanks guys!","@356773 Congrats on the new iPhone X! These steps can help with Activation issues: https://t.co/cJ57VP3gxT
DM us if still an issue. https://t.co/GDrqU22YpT",3,2,1,SUPPORT_RESPONSE_PRESENT
apple_1000104,you people are criminals of the highest fucking order @AppleSupport  merely HOURS after the iphone x is released my 7 starts getting glitchy,"CUSTOMER: you people are criminals of the highest fucking order @AppleSupport  merely HOURS after the iphone x is released my 7 starts getting glitchy
CUSTOMER: @AppleSupport have u no shame?????????? YALL SUCK
SUPPORT: @356774 That's certainly not something we want for a brand new product. DM us more info about the glitches you're seeing. https://t.co/GDrqU22YpT",@356774 That's certainly not something we want for a brand new product. DM us more info about the glitches you're seeing. https://t.co/GDrqU22YpT,3,2,1,SUPPORT_RESPONSE_PRESENT
apple_1000109,"Dear @115858, 

WTF is going on with my keyboard and this “I️” bull-ish 😡","CUSTOMER: Dear @115858, 

WTF is going on with my keyboard and this “I️” bull-ish 😡
SUPPORT: @356776 Let's work on that keyboard issue together so we can get you back to normal. Send us a DM and we'll get started. https://t.co/GDrqU22YpT",@356776 Let's work on that keyboard issue together so we can get you back to normal. Send us a DM and we'll get started. https://t.co/GDrqU22YpT,2,1,1,SUPPORT_RESPONSE_PRESENT
